suite,space_preset,instance_id,seed_transpiler,optimization_level,layout_method,seed_simulator,shots,method,score,transpiled_depth,transpiled_size
day1,compilation_only,maxcut_test,0,0,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,0,0,sabre,0,1024,QAOA_p1,3.58203125,41,75
day1,compilation_only,maxcut_test,0,1,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,0,1,sabre,0,1024,QAOA_p1,3.58203125,41,75
day1,compilation_only,maxcut_test,0,2,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,0,2,sabre,0,1024,QAOA_p1,3.58203125,56,93
day1,compilation_only,maxcut_test,0,3,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,0,3,sabre,0,1024,QAOA_p1,3.58203125,56,93
day1,compilation_only,maxcut_test,1,0,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,1,0,sabre,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,1,1,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,1,1,sabre,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,1,2,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,1,2,sabre,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,1,3,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,1,3,sabre,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,2,0,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,2,0,sabre,0,1024,QAOA_p1,3.58203125,41,75
day1,compilation_only,maxcut_test,2,1,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,2,1,sabre,0,1024,QAOA_p1,3.58203125,41,75
day1,compilation_only,maxcut_test,2,2,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,2,2,sabre,0,1024,QAOA_p1,3.58203125,56,93
day1,compilation_only,maxcut_test,2,3,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,2,3,sabre,0,1024,QAOA_p1,3.58203125,56,93
day1,compilation_only,maxcut_test,3,0,trivial,0,1024,QAOA_p1,3.5302734375,41,78
day1,compilation_only,maxcut_test,3,0,sabre,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,3,1,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,3,1,sabre,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,3,2,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,3,2,sabre,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,3,3,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,3,3,sabre,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,4,0,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,4,0,sabre,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,4,1,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,4,1,sabre,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,4,2,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,4,2,sabre,0,1024,QAOA_p1,3.578125,56,93
day1,compilation_only,maxcut_test,4,3,trivial,0,1024,QAOA_p1,3.578125,51,84
day1,compilation_only,maxcut_test,4,3,sabre,0,1024,QAOA_p1,3.578125,56,93
day1,compilation_only,maxcut_test,5,0,trivial,0,1024,QAOA_p1,3.578125,41,75
day1,compilation_only,maxcut_test,5,0,sabre,0,1024,QAOA_p1,3.58203125,41,75
