item_id,perturbation,category,expected_label,trigger_rule,notes
P01,transpiler seed,compilation,admissible,,Changes compilation nondeterminism without altering task, metric, or claim semantics.
P02,layout method,compilation,admissible,,Alternative transpiler layout remains within the declared execution pipeline.
P03,optimization level,compilation,admissible,,Compiler optimization choice changes implementation contingencies only.
P04,simulator seed,execution,admissible,,Sampling randomness varies execution outcomes without changing claim meaning.
P05,shot budget,execution,admissible,,Moderate shot-budget variation affects precision rather than task or claim semantics.
P06,device snapshot from same fake-backend family,backend,admissible,,Controlled backend-conditioned variation preserves the underlying task and claim interpretation.
P07,hybrid initialization seed,hybrid,borderline,Q3?,Borderline because initialization randomness may be an execution contingency or part of the effective search procedure, depending on workflow definition.
P08,hybrid initialization strategy,hybrid,borderline,Q3?,Borderline because changing the strategy may alter optimization behavior rather than execution conditions only.
P09,backend noise strength scaling by 5%,backend,borderline,Q2?;Q3?,Borderline because small synthetic noise stress may preserve task semantics but can shift the operational meaning of the measured claim.
P10,shot budget scaled by 10x,execution,borderline,Q2?,Borderline because extreme budget changes may move the experiment into a different measurement regime rather than merely changing precision.
P11,backend noise strength scaling by 20%,backend,borderline,Q2?;Q3?,Borderline because aggressive synthetic stress is better interpreted as stress testing unless explicitly justified as admissible variation.
P12,optimizer type swap in a hybrid workflow,hybrid,borderline,Q1?;Q3?,Borderline because optimizer replacement may change the search process enough to affect method semantics rather than execution conditions only.
P13,benchmark graph instance,benchmark,non_admissible,Q1,Changes the problem instance rather than the execution setting.
P14,target metric definition,analysis,non_admissible,Q2,Changes the claim semantics through a different measurement target.
P15,claim margin delta,analysis,non_admissible,Q3,Changes claim specification rather than an admissible perturbation of execution.
P16,method family replacement,method,non_admissible,Q3,Switching the algorithm changes the evaluated method and thus the claim population itself.
P17,basis set change for chemistry problem,benchmark,non_admissible,Q1,Changes the underlying scientific task rather than an operational setting.
P18,number of QAOA layers p,method,non_admissible,Q1;Q3,Alters the method definition and the semantic meaning of the claim.
